source,group,metric,expected_exhibit_value,current_calculated_value,delta,status
whoop,walking,records,33.0,33.0,0.0,PASS
whoop,walking,mean_avg_hr,123.39,123.39,0.0,PASS
whoop,walking,median_avg_hr,129.0,129.0,0.0,PASS
whoop,walking,highest_avg_hr,158.0,158.0,0.0,PASS
whoop,walking,highest_max_hr,195.0,195.0,0.0,PASS
whoop,walking,mean_hrv,38.47,38.47,0.0,PASS
whoop,walking,mean_strain,9.75,9.75,0.0,PASS
whoop,skates,records,596.0,596.0,0.0,PASS
whoop,skates,mean_avg_hr,112.97,112.97,0.0,PASS
whoop,paratransit_surrogate,records,112.0,112.0,0.0,PASS
whoop,paratransit_surrogate,mean_avg_hr,88.38,88.38,0.0,PASS
strava,walking,records,8.0,8.0,0.0,PASS
strava,walking,total_miles,2.94,2.94,0.0,PASS
strava,skates,records,920.0,920.0,0.0,PASS
strava,skates,total_miles,16225.25,16225.25,0.0,PASS
kubios,Walking,records,3.0,3.0,0.0,PASS
kubios,Walking,rri_hr,70.55,70.55,0.0,PASS
kubios,Walking,vertical_mean,99.86,99.86,0.0,PASS
kubios,Walking,vertical_rms,131.77,131.77,0.0,PASS
kubios,Walking,movement_std,127.07,127.07,0.0,PASS
kubios,Mall/PT controlled skating,records,11.0,11.0,0.0,PASS
kubios,Mall/PT controlled skating,rri_hr,84.53,84.53,0.0,PASS
kubios,Mall/PT controlled skating,vertical_mean,65.51,65.51,0.0,PASS
kubios,Mall/PT controlled skating,vertical_rms,87.7,87.7,0.0,PASS
kubios,Mall/PT controlled skating,movement_std,83.67,83.67,0.0,PASS
kubios,ParaTransit bus/cutaway,records,3.0,3.0,0.0,PASS
kubios,ParaTransit bus/cutaway,vertical_rms,178.67,178.67,0.0,PASS
kubios,ParaTransit van,records,2.0,2.0,0.0,PASS
kubios,ParaTransit van,vertical_rms,181.08,181.08,0.0,PASS
kubios,ParaTransit sedan,records,3.0,3.0,0.0,PASS
kubios,ParaTransit sedan,vertical_rms,119.48,119.48,0.0,PASS
