section,value,count
source_systems,strava,1833
source_systems,whoop,1545
source_systems,kubios,71
source_systems,strava+whoop,4
activity_family,skates,1549
activity_family,recovery_baseline,929
activity_family,motorcycle,373
activity_family,unknown,322
activity_family,paratransit,133
activity_family,wheelchair,80
activity_family,commuting,25
activity_family,readiness,21
activity_family,performance_high_exertion,10
activity_family,cycling_other,8
activity_family,walking,3
activity_subtype,yoga_recovery,929
activity_subtype,fns_sns_pt_exertion,850
activity_subtype,inline_skating_general,679
activity_subtype,motocross,334
activity_subtype,unknown,322
activity_subtype,paratransit_surrogate_horseback,116
activity_subtype,wheelchair_pushing,80
activity_subtype,motorcycle,39
activity_subtype,commuting_unknown,25
activity_subtype,daily_baseline,21
activity_subtype,pt_pain_relief,11
activity_subtype,obstacle_course_racing,10
activity_subtype,cycling_other,8
activity_subtype,mall_no_step_pt,7
activity_subtype,paratransit_sedan,7
activity_subtype,paratransit_bus,5
activity_subtype,hallway_pain_limited_baseline,3
activity_subtype,parking_lot_pt,2
activity_subtype,paratransit_van,2
activity_subtype,paratransit_taxi,1
activity_subtype,paratransit_unknown,1
activity_subtype,silverride_frontseat,1
evidence_role,baseline_context,950
evidence_role,mobility_aid_pt_exertion_context,850
evidence_role,mobility_aid_context,679
evidence_role,exertion_context,344
evidence_role,needs_review,322
evidence_role,accommodation_burden_evidence,132
evidence_role,wheelchair_substitution_context,80
evidence_role,lower_burden_comparator_when_supported,39
evidence_role,commute_context,25
evidence_role,pain_relief_context,11
evidence_role,other_exertion_context,8
evidence_role,mobility_aid_feasibility_evidence,7
evidence_role,walking_burden_evidence,3
evidence_role,mobility_aid_pt_evidence,2
evidence_role,accommodation_success_evidence,1
included_vs_excluded,excluded,4935
included_vs_excluded,included,3453
motion_burden_included_vs_excluded,motion_burden_included,2503
motion_burden_included_vs_excluded,motion_burden_excluded,950
baseline_recovery_readiness_excluded,excluded_from_activity_burden_comparison,950
needs_review,included_events_requiring_review,973
